user_id,precision_at_10,recall_at_10,ground_truth_size,live_recs_count,error
user_0499,0.4,0.5714285714285714,7,50,
user_0163,0.6,0.8571428571428571,7,50,
user_0026,0.6,0.8571428571428571,7,50,
user_0476,0.7,1.0,7,50,
user_0319,0.0,0.0,7,50,
user_0175,0.5,0.7142857142857143,7,50,
user_0460,0.7,1.0,7,50,
user_0030,0.5,0.7142857142857143,7,50,
user_0122,0.7,1.0,7,50,
user_0088,0.2,0.2857142857142857,7,50,
user_0067,0.7,1.0,7,50,
user_0437,0.3,0.42857142857142855,7,50,
user_0440,0.6,0.8571428571428571,7,50,
user_0010,0.4,0.5714285714285714,7,50,
user_0155,0.7,1.0,7,50,
user_0339,0.7,1.0,7,50,
user_0293,0.7,1.0,7,50,
user_0047,0.3,0.42857142857142855,7,50,
user_0417,0.3,0.42857142857142855,7,50,
user_0102,0.7,1.0,7,50,
user_0381,0.6,0.8571428571428571,7,50,
user_0401,0.7,1.0,7,50,
user_0051,0.6,0.8571428571428571,7,50,
user_0114,0.7,1.0,7,50,
user_0397,0.5,0.7142857142857143,7,50,
user_0378,0.2,0.2857142857142857,7,50,
user_0006,0.4,0.5714285714285714,7,50,
user_0456,0.2,0.2857142857142857,7,50,
user_0143,0.3,0.42857142857142855,7,50,
user_0285,0.4,0.5714285714285714,7,50,
user_0138,0.3,0.42857142857142855,7,50,
user_0092,0.7,1.0,7,50,
user_0354,0.7,1.0,7,50,
user_0211,0.7,1.0,7,50,
user_0495,0.7,1.0,7,50,
user_0180,0.2,0.2857142857142857,7,50,
user_0303,0.7,1.0,7,50,
user_0246,0.7,1.0,7,50,
user_0483,0.2,0.2857142857142857,7,50,
user_0179,0.1,0.14285714285714285,7,50,
user_0196,0.0,0.0,0,0,
user_0315,0.3,0.42857142857142855,7,50,
user_0250,0.7,1.0,7,50,
user_0084,0.3,0.42857142857142855,7,50,
user_0342,0.7,1.0,7,50,
user_0207,0.7,1.0,7,50,
user_0343,0.6,0.8571428571428571,7,50,
user_0206,0.7,1.0,7,50,
user_0085,0.6,0.8571428571428571,7,50,
user_0314,0.6,0.8571428571428571,7,50,
user_0251,0.6,0.8571428571428571,7,50,
user_0482,0.5,0.7142857142857143,7,50,
user_0178,0.5,0.7142857142857143,7,50,
user_0197,0.0,0.0,7,50,
user_0302,0.7,1.0,7,50,
user_0247,0.3,0.42857142857142855,7,50,
user_0494,0.2,0.2857142857142857,7,50,
user_0181,0.3,0.42857142857142855,7,50,
user_0355,0.7,1.0,7,50,
user_0210,0.3,0.42857142857142855,7,50,
user_0139,0.7,1.0,7,50,
user_0093,0.5,0.7142857142857143,7,50,
user_0284,0.7,1.0,7,50,
user_0007,0.2,0.2857142857142857,7,50,
user_0457,0.5,0.7142857142857143,7,50,
user_0142,0.7,1.0,7,50,
user_0396,0.2,0.2857142857142857,7,50,
user_0379,0.7,1.0,7,50,
user_0400,0.1,0.14285714285714285,7,50,
user_0050,0.7,1.0,7,50,
user_0115,0.5,0.7142857142857143,7,50,
user_0380,0.3,0.42857142857142855,7,50,
user_0046,0.7,1.0,7,50,
user_0416,0.0,0.0,0,0,
user_0103,0.7,1.0,7,50,
user_0338,0.4,0.5714285714285714,7,50,
user_0292,0.7,1.0,7,50,
user_0441,0.2,0.2857142857142857,7,50,
user_0011,0.4,0.5714285714285714,7,50,
user_0154,0.5,0.7142857142857143,7,50,
user_0123,0.7,1.0,7,50,
user_0089,0.7,1.0,7,50,
user_0066,0.6,0.8571428571428571,7,50,
user_0436,0.7,1.0,7,50,
user_0174,0.6,0.8571428571428571,7,50,
user_0461,0.5,0.7142857142857143,7,50,
user_0031,0.7,1.0,7,50,
user_0318,0.0,0.0,0,0,
user_0498,0.7,1.0,7,50,
user_0162,0.7,1.0,7,50,
user_0027,0.6,0.8571428571428571,7,50,
user_0477,0.5,0.7142857142857143,7,50,
user_0135,0.3,0.42857142857142855,7,50,
user_0420,0.5,0.7142857142857143,7,50,
user_0070,0.2,0.2857142857142857,7,50,
user_0359,0.7,1.0,7,50,
user_0267,0.7,1.0,7,50,
user_0322,0.4,0.5714285714285714,7,50,
user_0288,0.4,0.5714285714285714,7,50,
user_0119,0.0,0.0,0,0,
user_0230,0.6,0.8571428571428571,7,50,
user_0375,0.7,1.0,7,50,
user_0226,0.7,1.0,7,50,
user_0363,0.7,1.0,7,50,
user_0158,0.5,0.7142857142857143,7,50,
user_0271,0.7,1.0,7,50,
user_0334,0.3,0.42857142857142855,7,50,
user_0065,0.7,1.0,7,50,
user_0435,0.7,1.0,7,50,
user_0120,0.6,0.8571428571428571,7,50,
user_0209,0.7,1.0,7,50,
user_0198,0.4,0.5714285714285714,7,50,
user_0462,0.7,1.0,7,50,
user_0032,0.6,0.8571428571428571,7,50,
user_0177,0.7,1.0,7,50,
user_0024,0.7,1.0,7,50,
user_0474,0.3,0.42857142857142855,7,50,
user_0161,0.2,0.2857142857142857,7,50,
user_0248,0.7,1.0,7,50,
user_0423,0.7,1.0,7,50,
user_0073,0.7,1.0,7,50,
user_0136,0.7,1.0,7,50,
user_0458,0.4,0.5714285714285714,7,50,
user_0008,0.7,1.0,7,50,
user_0321,0.7,1.0,7,50,
user_0264,0.7,1.0,7,50,
user_0376,0.7,1.0,7,50,
user_0399,0.7,1.0,7,50,
user_0233,0.4,0.5714285714285714,7,50,
user_0419,0.0,0.0,0,0,
user_0049,0.7,1.0,7,50,
user_0360,0.4,0.5714285714285714,7,50,
user_0225,0.4,0.5714285714285714,7,50,
user_0337,0.4,0.5714285714285714,7,50,
user_0272,0.1,0.14285714285714285,7,50,
user_0205,0.5,0.7142857142857143,7,50,
user_0340,0.4,0.5714285714285714,7,50,
user_0439,0.4,0.5714285714285714,7,50,
user_0069,0.2,0.2857142857142857,7,50,
user_0086,0.7,1.0,7,50,
user_0252,0.7,1.0,7,50,
user_0317,0.4,0.5714285714285714,7,50,
user_0194,0.6,0.8571428571428571,7,50,
user_0481,0.7,1.0,7,50,
user_0244,0.7,1.0,7,50,
user_0301,0.7,1.0,7,50,
user_0182,0.4,0.5714285714285714,7,50,
user_0478,0.0,0.0,0,0,
user_0028,0.3,0.42857142857142855,7,50,
user_0497,0.7,1.0,7,50,
user_0213,0.7,1.0,7,50,
user_0356,0.5,0.7142857142857143,7,50,
user_0090,0.5,0.7142857142857143,7,50,
user_0287,0.7,1.0,7,50,
user_0268,0.7,1.0,7,50,
user_0141,0.6,0.8571428571428571,7,50,
user_0004,0.2,0.2857142857142857,7,50,
user_0454,0.6,0.8571428571428571,7,50,
user_0395,0.0,0.0,7,0,
user_0116,0.6,0.8571428571428571,7,50,
user_0403,0.0,0.0,0,0,
user_0053,0.3,0.42857142857142855,7,50,
user_0383,0.0,0.0,0,0,
user_0229,0.0,0.0,0,0,
user_0100,0.3,0.42857142857142855,7,50,
user_0045,0.7,1.0,7,50,
user_0415,0.7,1.0,7,50,
user_0291,0.2,0.2857142857142857,7,50,
user_0157,0.3,0.42857142857142855,7,50,
user_0442,0.7,1.0,7,50,
user_0012,0.5,0.7142857142857143,7,50,
user_0156,0.2,0.2857142857142857,7,50,
user_0443,0.5,0.7142857142857143,7,50,
user_0013,0.7,1.0,7,50,
user_0290,0.3,0.42857142857142855,7,50,
user_0101,0.2,0.2857142857142857,7,50,
user_0044,0.7,1.0,7,50,
user_0414,0.7,1.0,7,50,
user_0382,0.7,1.0,7,50,
user_0228,0.7,1.0,7,50,
user_0117,0.7,1.0,7,50,
user_0402,0.7,1.0,7,50,
user_0052,0.4,0.5714285714285714,7,50,
user_0394,0.0,0.0,7,0,
user_0140,0.7,1.0,7,50,
user_0005,0.7,1.0,7,50,
user_0455,0.5,0.7142857142857143,7,50,
user_0286,0.4,0.5714285714285714,7,50,
user_0269,0.5,0.7142857142857143,7,50,
user_0091,0.7,1.0,7,50,
user_0212,0.7,1.0,7,50,
user_0357,0.6,0.8571428571428571,7,50,
user_0183,0.5,0.7142857142857143,7,50,
user_0479,0.1,0.14285714285714285,7,50,
user_0029,0.3,0.42857142857142855,7,50,
user_0496,0.4,0.5714285714285714,7,50,
user_0245,0.6,0.8571428571428571,7,50,
user_0300,0.7,1.0,7,50,
user_0195,0.0,0.0,0,0,
user_0480,0.7,1.0,7,50,
user_0253,0.4,0.5714285714285714,7,50,
user_0316,0.0,0.0,0,50,
user_0438,0.7,1.0,7,50,
user_0068,0.4,0.5714285714285714,7,50,
user_0087,0.7,1.0,7,50,
user_0204,0.2,0.2857142857142857,7,50,
user_0341,0.0,0.0,0,50,
user_0336,0.7,1.0,7,50,
user_0273,0.0,0.0,7,50,
user_0361,0.3,0.42857142857142855,7,50,
user_0224,0.5,0.7142857142857143,7,50,
user_0418,0.3,0.42857142857142855,7,50,
user_0048,0.6,0.8571428571428571,7,50,
user_0377,0.7,1.0,7,50,
user_0398,0.7,1.0,7,50,
user_0232,0.2,0.2857142857142857,7,50,
user_0320,0.0,0.0,0,0,
user_0265,0.7,1.0,7,50,
user_0459,0.7,1.0,7,50,
user_0009,0.0,0.0,7,50,
user_0422,0.7,1.0,7,50,
user_0072,0.4,0.5714285714285714,7,50,
user_0137,0.2,0.2857142857142857,7,50,
user_0249,0.7,1.0,7,50,
user_0025,0.0,0.0,7,50,
user_0475,0.1,0.14285714285714285,7,50,
user_0160,0.7,1.0,7,50,
user_0199,0.6,0.8571428571428571,7,50,
user_0463,0.2,0.2857142857142857,7,50,
user_0033,0.0,0.0,0,0,
user_0176,0.3,0.42857142857142855,7,50,
user_0208,0.4,0.5714285714285714,7,50,
user_0064,0.6,0.8571428571428571,7,50,
user_0434,0.2,0.2857142857142857,7,50,
user_0121,0.7,1.0,7,50,
user_0203,0.4,0.5714285714285714,7,50,
user_0346,0.7,1.0,7,50,
user_0080,0.6,0.8571428571428571,7,50,
user_0254,0.7,1.0,7,50,
user_0311,0.3,0.42857142857142855,7,50,
user_0038,0.4,0.5714285714285714,7,50,
user_0192,0.7,1.0,7,50,
user_0468,0.7,1.0,7,50,
user_0487,0.1,0.14285714285714285,7,50,
user_0242,0.7,1.0,7,50,
user_0307,0.3,0.42857142857142855,7,50,
user_0184,0.0,0.0,0,0,
user_0491,0.7,1.0,7,50,
user_0215,0.4,0.5714285714285714,7,50,
user_0350,0.7,1.0,7,50,
user_0079,0.2,0.2857142857142857,7,50,
user_0429,0.0,0.0,0,50,
user_0096,0.4,0.5714285714285714,7,50,
user_0281,0.3,0.42857142857142855,7,50,
user_0147,0.7,1.0,7,50,
user_0002,0.0,0.0,7,50,
user_0452,0.0,0.0,0,0,
user_0239,0.4,0.5714285714285714,7,50,
user_0393,0.7,1.0,7,50,
user_0110,0.7,1.0,7,50,
user_0405,0.7,1.0,7,50,
user_0055,0.3,0.42857142857142855,7,50,
user_0385,0.3,0.42857142857142855,7,50,
user_0106,0.7,1.0,7,50,
user_0043,0.4,0.5714285714285714,7,50,
user_0413,0.2,0.2857142857142857,7,50,
user_0297,0.7,1.0,7,50,
user_0278,0.4,0.5714285714285714,7,50,
user_0151,0.1,0.14285714285714285,7,50,
user_0444,0.7,1.0,7,50,
user_0014,0.0,0.0,0,0,
user_0063,0.6,0.8571428571428571,7,50,
user_0433,0.4,0.5714285714285714,7,50,
user_0126,0.7,1.0,7,50,
user_0464,0.3,0.42857142857142855,7,50,
user_0034,0.3,0.42857142857142855,7,50,
user_0171,0.7,1.0,7,50,
user_0258,0.2,0.2857142857142857,7,50,
user_0022,0.0,0.0,0,0,
user_0188,0.5,0.7142857142857143,7,50,
user_0472,0.7,1.0,7,50,
user_0167,0.4,0.5714285714285714,7,50,
user_0425,0.0,0.0,7,0,
user_0075,0.2,0.2857142857142857,7,50,
user_0130,0.4,0.5714285714285714,7,50,
user_0219,0.1,0.14285714285714285,7,50,
user_0327,0.4,0.5714285714285714,7,50,
user_0262,0.5,0.7142857142857143,7,50,
user_0059,0.6,0.8571428571428571,7,50,
user_0409,0.7,1.0,7,50,
user_0370,0.5,0.7142857142857143,7,50,
user_0235,0.6,0.8571428571428571,7,50,
user_0366,0.7,1.0,7,50,
user_0223,0.1,0.14285714285714285,7,50,
user_0389,0.1,0.14285714285714285,7,50,
user_0018,0.7,1.0,7,50,
user_0448,0.7,1.0,7,50,
user_0331,0.7,1.0,7,50,
user_0274,0.2,0.2857142857142857,7,50,
user_0330,0.6,0.8571428571428571,7,50,
user_0275,0.7,1.0,7,50,
user_0019,0.7,1.0,7,50,
user_0449,0.3,0.42857142857142855,7,50,
user_0367,0.0,0.0,7,50,
user_0222,0.5,0.7142857142857143,7,50,
user_0388,0.7,1.0,7,50,
user_0371,0.2,0.2857142857142857,7,50,
user_0234,0.7,1.0,7,50,
user_0058,0.7,1.0,7,50,
user_0408,0.6,0.8571428571428571,7,50,
user_0326,0.7,1.0,7,50,
user_0263,0.2,0.2857142857142857,7,50,
user_0218,0.5,0.7142857142857143,7,50,
user_0424,0.5,0.7142857142857143,7,50,
user_0074,0.0,0.0,7,50,
user_0131,0.4,0.5714285714285714,7,50,
user_0023,0.7,1.0,7,50,
user_0189,0.7,1.0,7,50,
user_0473,0.0,0.0,0,0,
user_0166,0.0,0.0,7,50,
user_0259,0.0,0.0,0,0,
user_0465,0.6,0.8571428571428571,7,50,
user_0035,0.5,0.7142857142857143,7,50,
user_0170,0.6,0.8571428571428571,7,50,
user_0062,0.7,1.0,7,50,
user_0432,0.2,0.2857142857142857,7,50,
user_0127,0.0,0.0,0,0,
user_0500,0.7,1.0,7,50,
user_0150,0.6,0.8571428571428571,7,50,
user_0445,0.7,1.0,7,50,
user_0015,0.5,0.7142857142857143,7,50,
user_0296,0.4,0.5714285714285714,7,50,
user_0279,0.7,1.0,7,50,
user_0107,0.5,0.7142857142857143,7,50,
user_0042,0.0,0.0,0,0,
user_0412,0.6,0.8571428571428571,7,50,
user_0384,0.7,1.0,7,50,
user_0111,0.0,0.0,7,50,
user_0404,0.4,0.5714285714285714,7,50,
user_0054,0.7,1.0,7,50,
user_0238,0.5,0.7142857142857143,7,18,
user_0392,0.3,0.42857142857142855,7,50,
user_0146,0.0,0.0,0,0,
user_0003,0.7,1.0,7,50,
user_0453,0.7,1.0,7,50,
user_0280,0.1,0.14285714285714285,7,50,
user_0078,0.7,1.0,7,50,
user_0428,0.0,0.0,7,50,
user_0097,0.7,1.0,7,50,
user_0214,0.7,1.0,7,50,
user_0351,0.4,0.5714285714285714,7,50,
user_0185,0.7,1.0,7,50,
user_0490,0.7,1.0,7,50,
user_0243,0.6,0.8571428571428571,7,50,
user_0306,0.7,1.0,7,50,
user_0039,0.7,1.0,7,50,
user_0193,0.7,1.0,7,50,
user_0469,0.7,1.0,7,50,
user_0486,0.0,0.0,7,50,
user_0255,0.5,0.7142857142857143,7,50,
user_0310,0.7,1.0,7,50,
user_0081,0.7,1.0,7,50,
user_0202,0.0,0.0,0,50,
user_0347,0.3,0.42857142857142855,7,50,
